Subsystem,Component,Sub-Component,Potential Failure Mode,Potential Effect(s) of Failure,Severity,Potential Cause(s) of Failure,Occurrence,Current Controls,Detection,RPN,Recommended Action
,Actuators,,Mechanical failure,Acctuator does not achive desired effect,4,2,2,Investigated upon component failure.,2,16,
,,,Leaking,"loss of control of system, loss of hydraulic fluid, possible fire hazard",3,"General wear and tear, incorrect installation, ",3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,18,
,,,Wearing,"Loss of control of system, possible loss of hydraulic fluid and fire",4,Physical impact,2,Investigated upon component failure.,2,16,
Electrical System,Wiring Harness,Wiring,Snapped wires,"Loss of function of one or more components, engine shutdown ( may initially present as intermittent fault). Exposure to heat/rubbing on components.",2,May be caused by broken mounting points or insufficient cable flex to allow adequate range of movement,2,Visual imspection on PM services,3,12,Check upbox and dropbox wiring harnesses conditions on 500 hour service.
,,Plugs,Corrosion (Green Death) ,"Loss of function of one or more components, engine shutdown May present as intermittent fault ",2,Electrical components become corroded with exposure to contaminates over time making terminal connections ineffective and the wire brittle with higher possibility of physical damage occurring ,2,Visual imspection on PM services,3,12,Add sealant to connections and plugs.
,,Fuses & Wires,Overloading," Blown Fuses, Loss of function of one or more components, engine shutdown",2,"Loading components beyond their rated capacity may lead to partial or catastrophic failure, there is also the potential for multiple component failure",3,Visual imspection on PM services,3,18,
,Actuators,,Mechanical failure,Actuator does not function ,3,"General wear and tear, incorrect installation",3,Investigated upon component failure.,3,27,
,,,Corrosion (Green Death) ,Actuator does not function ,3,"exposure of terminals,plugs and wire to corrosive enviroment",3,Visual imspection on PM services,2,18,Add sealant to connections and plugs.
,,,Wearing,Actuator does not function ,3,"Physical impact, incorrect mounting",2,Investigated upon component failure.,2,12,Collect failure information and and record replacement intervals.
,,,Overloading,Actuator overloaded damaging component or blows a fuse,3,Shorting of connections incorrect rating of fuse installed,2,Investigated upon component failure.,3,18,Collect failure information and and record replacement intervals.
,Component Box,Fuses,Overloading," Blown Fuses, Loss of function of one or more components, engine shutdown",3,"Loading components beyond their rated capacity may lead to partial or catastrophic failure, there is also the potential for multiple component failure",2,Investigated upon component failure.,2,12,Collect failure information and and record replacement intervals.
,,Circuit Breakers,Overloading,"Circuit Breaker Tripped, loss of function or engine shutdown",3,"Loading components beyond their rated capacity may lead to partial or catastrophic failure, there is also the potential for multiple component failure",2,Investigated upon component failure.,2,12,Collect failure information and and record replacement intervals.
,Charging and Ignition,Ignition switch,Wearing,Machine will not start or run correctly,3,"loose wires physical damage to wires or ignition barrel, ",2,Investigated upon component failure.,2,12,
,,,Overloading,Machine will not start or run correctly,3,Shorting of connections incorrect rating of fuse installed,2,Investigated upon component failure.,3,18,
,,,Corrosion,Machine will not start or run correctly,3,Electrical components become corroded with exposure to contaminates over time making terminal connections ineffective and the wire brittle with higher possibility of physical damage occurring ,2,Investigated upon component failure.,3,18,
,,Alternator,Corrosion,batteries will not charge ,3," exposure to contaminates,  removal of lead protection",3,Investigated upon component failure.,3,27,Check harnesses for corrosion; add sealant to connection at 1000 hour service. Inspect for optimsal replcement interval.
,,,Physical damage,batteries will not charge ,3,"incorrect installation, General wear and tear on rotating components,",3,Investigated upon component failure.,3,27,
,,,Overloading,batteries will not charge ,3,"using the isolation switch to turn off the machine alternators operated on open circuit with the field winding energized. High voltages will result, causing possible rectifier failure",3,Investigated upon component failure.,3,27,
,,Starter Motor,Corrosion,Machine will not start,3,"Exposure to contaminates,  removal of lead protection",3,Investigated upon component failure.,3,27,Check wiring for corrosion; add sealant to connections at 1000 hour service. 
,,,Wearing,Machine will not start,3,"incorrect installation, General wear and tear on rotating components,",3,Investigated upon component failure.,3,27,Inspect for optimsal replcement interval.
,,,Overloading,Machine will not start,3,"shorting of wires wrong gauge fuse installed, ",3,Investigated upon component failure.,3,27,
,,Batteries,Corrosion,"Machine functions poorly under electrical load, batteries go flat quickly, machine is difficult to start",2,exposure of wiring and terminals to corrosive contaminants,3,Checked at 125hr service interval,3,18,Add sealant to connections and plugs.
,,,Wearing,"Machine functions poorly under electrical load, batteries go flat quickly, machine is difficult to start, Possible leaking of",2,"Incorrect instalation, failure of battery restraints, impact on batery",2,Checked at 125hr service interval,2,8,Inspect battery cables for wearing during 125 hour service.
,,,End of usable life,"Machine functions poorly under electrical load, batteries go flat quickly, machine is difficult to start",2,"Poor battery maintenance, overcharging undercharging , poor connections to battery",3,Checked at 125hr service interval,2,12,Fill with distilled water during 125 hour service.
,,Battery Isolation Switch,"Physical Failure of switch, ","Machine can not be isolated, or de-isolated",4,"Physical damage to the mechanism, corrosion, incorrect installation",2,tested every time the machine is isolated,2,16,
,,,Overloading,isolation may not function ,4,isolation point may short and therefore  not isolate the machine.,2,,2,16,
,Cabin Controls,Wiper switch,Physical failure of switch,wipers may be non functioning of always on,2,"Physical damage to the mechanism, corrosion, incorrect installation",3,Investigated upon component failure.,2,12,
,,Wiper motor ,Mechanical failure,Wiper will not function,2,"Wiper linkage becomes detached, ",2,Investigated upon component failure.,2,8,
,,,Overloading,"Wiper does not function, damage to motor coil or fuse",2,"shorting of connections,or incorrect gauge fuse installed",2,,2,8,
,,,Corrosion,"Wiper does not function, damage to motor coil and wires",2,Contaminants cause the motor coil and connections to become corroded.,2,,2,8,
,,Horn,Mechanical Failure,Horn does not sound or may be stuck on,2,physical damage to switch or horn,2,Investigated upon component failure.,2,8,
,,,Corrosion,Horn does not sound,2,"Corrosion of wiring , loss of power, ",2,,2,8,
,,,Overloading,Horn does not sound,2,"shorting of connections,or incorrect gauge fuse installed",2,,2,8,
,Vehicle Driving Lights,,"Overloading,",Lights inoperable,2,"Incorrect rated fuse or light, shorting of wires",2,Tested Daily,2,8,
,,,Wearing,Lights inoperable,2,Lights or wiring physically damaged,2,Tested Daily,2,8,
,,,Corrosion,"lights inoperable, may function at reduced power",2,contamination of conections and wiring causes corrosion,2,Tested Daily,2,8,
,Air-conditioning,Compressor,Mechanical Failure,"Airconditioning inoperable, ",2,"Compressor may be physically damaged, collapsed bearing, slipping belt, or have interal failings",3,Checked every 250hr service otherwise Investigated upon component failure.,3,18,
,,,Leaks,"Airconditioning looses gas and becomes inoperable, function will deterioat over time",2,incorrectly installed or damaged fittings,3,Checked every 250hr service otherwise Investigated upon component failure.,3,18,
,,,Corrosion,compressor wont run ,2,corrosion of terminals and wiring prevents electrica clutch from engaging.,3,Checked every 250hr service otherwise Investigated upon component failure.,3,18,
,,Condenser,Leaking,"Air-conditioning inoperable, ",2,"incorrect installation, loose or incorrect fittings, damage to the case by impact may lead to leaks",3,Checked every 250hr service otherwise Investigated upon component failure.,3,18,
,,Evaporator,Leaking,"Airconditioning inoperable, ",2,"incorrect installation, loose or incorrect fittings",3,Checked every 250hr service otherwise Investigated upon component failure.,3,18,
,,,Wearing,"Airconditioning inoperable, ",2,damage to the case by impact may lead to leaks,3,Checked every 250hr service otherwise Investigated upon component failure.,2,12,Inspect for optimsal replcement interval.
,,Fan,Mechhanical Failue,"Airconditioning inoperable, ",2,"Vibrations, broken fan blades, corrosion of terminals",2,Checked every 250hr service otherwise Investigated upon component failure.,2,8,
,,,Corrosion,"Airconditioning inoperable, ",2,contamination of conections and wiring causes corrosion,2,Checked every 250hr service otherwise Investigated upon component failure.,3,12,
,,,Overloading,"Airconditioning inoperable, ",2,Incorrect rated fuse or shorting of wires,2,Checked every 250hr service otherwise Investigated upon component failure.,3,12,
,,Filter,Blocked,"Poor air quality, or reduced air flow",2,"Dusty environment, physical damage of air filter component, incorrect installation ",3,Changed  at 500hr service interval.,3,18,Clean air filter during 125 hour service.
,,Filter Housing,Wearing,"Poor air quality, or reduced air flow",2,impact on fiter housing,2,,2,8,
,,Vents,Wearing,Lack of control of air flow in cab,2,Incorrect use or installation,3,,1,6,
,Programmable Logic Controller (PLC),Monitor dump box position,Corrosion,Warning light displayed,3,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,"Inspected every 250hr service, otherwise investigated upon component failure.",3,27,Collect failure information and and record replacement intervals.
,,,Wearing,Warning light displayed,3,incorrect instalation or [hysical impact to the module may cause damage,2,"Inspected every 250hr service, otherwise investigated upon component failure.",2,12,Collect failure information and and record replacement intervals.
,,,Overloading,"Warning light displayed, possible damage to PLC",3,Shorting of wires or surges to the PLC may cause serious damage,2,"Inspected every 250hr service, otherwise investigated upon component failure.",3,18,Collect failure information and and record replacement intervals.
,,Alarms and lights,Corrosion,Alarms and lights inoperable,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,Checked daily.,2,12,Collect failure information and and record replacement intervals.
,,,Wearing,Alarms and lights inoperable,2,,3,Checked daily.,2,12,Collect failure information and and record replacement intervals.
,,,Overloading,Possible dmagae to components and PLC,2,,2,Checked daily.,2,8,Collect failure information and and record replacement intervals.
,,Reverse Alarm,Corrosion,Reverse Alarm inoperable,2,"Damaged alarm or wiring, terminal corrosion, incorrect installation",3,Checked daily.,2,12,Collect failure information and and record replacement intervals.
,,,Wearing,Reverse Alarm inoperable,2,"damage to the alarm by impact, or loose mounting",3,Checked daily.,2,12,Collect failure information and and record replacement intervals.
,,,Overloading,Possible dmagae to components and PLC,2,shorting of wires or incorrect gauge fuse installed,2,Checked daily.,2,8,Collect failure information and and record replacement intervals.
,,Release or set the parking brake,Corrosion,Parking brake locked on,3,Damage to wiring or actuator,2,Checked daily.,3,18,Collect failure information and and record replacement intervals.
,,,Overloading,unable to set/ disengage park brake,3,shorting of wires may prevent the parking brake from being iperated effficiently,2,Checked daily.,3,18,Collect failure information and and record replacement intervals.
,,Park Brake Switch,Corrosion,unable to set/ disengage park brake,3,"Damage to wiring, or switch",2,Checked daily.,3,18,Collect failure information and and record replacement intervals.
,,,Physical damage,unable to set/ disengage park brake,3,"incorrect installation of the switch, or Physical impact to the switch",2,Checked daily.,2,12,Collect failure information and and record replacement intervals.
,,,Overloading,unable to set/ disengage park brake,3,shorting of wires,2,Checked daily.,3,18,Collect failure information and and record replacement intervals.
,,Dash ,Corrosion,Dash Display may not function correctly or show faults,2,"Damage to wiring, or lamps, ",2,Checked every 125hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,Dash Display may not function correctly or show faults,2,impact breaking bulbs,2,Checked every 125hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,Dash Display may not function correctly or show faults lamps or fuses blown,2,Shorting of wires or use of incorrect gauge fuses.,2,Checked every 125hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Gears Sensor,Corrosion,Warning light displayed,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked every 500hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Transmission Sensor,Corrosion,Engine shutdown or reduced gear selection,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked every 500hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,Engine Electronic Control Module (ECM),Engine Speed Sensor,Corrosion,Warning light displayed,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked every 500hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,System Sensors,Corrosion,Warning light displayed,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked every 500hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Diagnostic Interfaces,Corrosion,Unable to collect diagnostic information,2,"Physical damage to PLC module or connectors, corrosion of wires or incorrect configuration",2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked every 500hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Communication Links,Corrosion,"Engine will not run, or will run poorly",2,"Physical damage to PLC module or connectors, corrosion of wires or incorrect configuration",2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked every 500hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked every 500hr service interval.,3,12,Collect failure information and and record replacement intervals.
,Data Collection Unit (DCU),Engine Coolant Temperature Gauge,Corrosion,False readings may be displayed,2,"Exposure to contaminates, physical damage to gauge or grounding / crossing of cables to give false reading",2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked evry 125 hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Engine Coolant Level Gauge,Corrosion,False readings may be displayed,2,"Exposure to contaminates, physical damage to gauge or grounding / crossing of cables to give false reading",2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked evry 125 hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Engine Oil Pressure Gauge,Corrosion,False readings may be displayed,2,"Exposure to contaminates, physical damage to gauge or grounding / crossing of cables to give false reading",2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked evry 125 hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Engine ECM data,Corrosion,Unable to collect diagnostic information or program new data,2,"Physical damage to PLC module or connectors, corrosion of wires or incorrect configuration",2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked evry 125 hr service interval.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked evry 125 hr service interval.,3,12,Collect failure information and and record replacement intervals.
,,Cameras,Corrosion,Reduced ability to successfully move machinery safely,2,"physical damage to camera or wiring, corrosion of terminals ",2,Checked daily,3,12,Collect failure information and and record replacement intervals.
,,,Wearing,,2,,2,Checked daily,2,8,Collect failure information and and record replacement intervals.
,,Gauges,Corrosion,False readings may be displayed,2,"Exposure to contaminates, physical damage to gauge or grounding / crossing of cables to give false reading",2,Checked evry 125 hr service interval,2,8,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Checked evry 125 hr service interval,1,4,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Checked evry 125 hr service interval,2,8,Collect failure information and and record replacement intervals.
,,Accumulator Pressure,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Transmission Pressure,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Transmission Temperature Sensor,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Transmission Temperature Sender,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Hydraulic Tank Temperature Sensor,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Hydraulic Tank Level Sensor,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Upbox Temperature Switch,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Dropbox Temperature Switch,Corrosion,False readings may be collected potentially allowing further damage to occur,2,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,Transmission Electronic Control Unit (ECU),Solenoid Wiring,Corrosion,Transmission may not function,2,"Exposure to contaminates, physical damage to wires grounding or crossing of cables",2,Investigated upon component failure.,3,0,Collect failure information and and record replacement intervals.
,,,Physical damage,,2,,2,Investigated upon component failure.,2,8,Collect failure information and and record replacement intervals.
,,,Overloading,,2,,2,Investigated upon component failure.,3,12,Collect failure information and and record replacement intervals.
,,Two-way radio,Corrosion,Inability to communicate with other staff members,3,contamination of wires and connections by corrosive elements,2,Checked daily,2,12,Collect failure information and and record replacement intervals.
,,,Physical damage,Inability to communicate with other staff members,3,physical damage or General wear and tear to two way radio,2,Checked daily,2,12,Collect failure information and and record replacement intervals.
,,,Overloading,Inability to communicate with other staff members,3,,2,Checked daily,2,12,Collect failure information and and record replacement intervals.
Power Frame,Hoods and Covers,Hand Rails,Wearing,Difficulty in gaining access to machine above safe working height,2,"Falling Rocks, Incorrect installation",3,CM as indicated by daily visual inspection,1,6,Investigate alternative safety mechanisms or ways to increase durability of current system 
,,Covers,Wearing,Loss of cover presents increased risk of component damage.,1,"Falling Rocks,",2,CM as indicated by daily visual inspection,1,2,
,Cabin,Cabin Assembly,Wearing,"Unsafe Working environment, windows, and doors no longer fit",2,"Falling Rocks  Physical impacts, general wear of cabin mounts",2,CM as indicated by daily visual inspection or scheduled visual inspection,2,8,Collect failure information and and record replacement intervals.
,,Seatbelt,Wearing,Unsafe working environment,3,General wear and tear. ,3,CM as indicated by weekly visual inspection,1,9,
,,Drivers Seat ,Wearing,Unsafe working environment,2,"General wear and tear, loose fittings, incorrect installation or part. ",3,CM as indicated by weekly visual inspection,2,12,
,,Windows,Wearing,Unsafe working environment,2,Falling Rocks  Physical impacts,4,CM as indicated by daily visual inspection,1,8,Investigate  methods of protecting window whilst still maintaining functionality and emergency escape access
,,Door,Wearing,Unsafe working environment,3,Falling Rocks  Physical impacts,3,"CM as indicated by daily visual inspection, Scheduled Maintenance @ 125hr interval for greasing of door hinges",1,9,
,Chassis,Wings,Wearing,Further Damage to Machine Frame,1,Physical impact,3,CM as indicated by daily visual inspection,3,9,Collect failure information and and record replacement intervals.
,,Hitch Bolt,Wearing,"Separation of Load and Power frame, Increased Component wear",3,Physical impact,2,Maintenance tasks determined through visual inspection,3,18,Collect failure information and and record replacement intervals.
,,Dogbone,Wearing,"Reduce Structural Integrity, increased vibration",3,Physical impact and General wear and tear on component,2,CM as indicated by visual inspection during  500hr Scheduled Maintenance,3,18,Inspect for optimal replacement interval.
,,Mudguard,Wearing,"Increased contamination of surrounding systems reducing, function",2,Physical impact and General wear and tear on component,3,Maintenance tasks determined through visual inspection,1,6,Collect failure information and and record replacement intervals.
,,A-Frame ,Wearing,"Reduce Structural Integrity, increased vibration",3,Physical impact and General wear and tear on component,2,Maintenance tasks determined through visual inspection,3,18,Inspect for optimal replacement interval.
,,Bearing,Wearing,"Reduced control of steering increased vibration, and increased wear on surrounding components",3,Physical impact and General wear and tear on component,2,Maintenance tasks determined through visual inspection,3,18,Collect failure information and and record replacement intervals.
,,Steering Cap Pins and Bolts,Wearing,"increased vibration, Loss of steering function",3,"Physical impacts, vibration and contamination",2,Maintenance tasks determined through visual inspection,3,18,Collect failure information and and record replacement intervals.
,,Suspension centre bearing,Wearing,"increased vibration, Loss of steering function",3,"Physical impacts, vibration and contamination",2,Maintenance tasks determined through visual inspection,4,24,Collect failure information and and record replacement intervals.
,Greasing System,Grease Pump,Wearing,Increased component wear at articulated joints,2,"Impacts, Falling Rocks",2,Maintenance tasks determined through visual inspection,2,8,Check grease level in lubricating tank during 125 hour service.
,,,Mechanical Failure,Increased component wear at articulated joints,2,Pump motor General wear and tear,2,Maintenance tasks determined through visual inspection,3,12,
,,,Corrosion,Increased component wear at articulated joints,2,Contamination of electrical plugs and circuitry,2,Maintenance tasks determined through visual inspection,3,12,
,,,Overloading,Increased component wear at articulated joints,2,"Shorting of live wires to ground, or electrical component failure",2,Maintenance tasks determined through visual inspection,3,12,
,,Grease Lines,Wearing,"Increased component wear at articulated joints, contamination of components exposed to grease",2,"Rubbing of lines, lines broken due to Physical impact, incorrect fittings",3,Grease refilled and joints inspected for grease daily. All grease lines inspected every 125 hr scheduled service,2,12,
Load Frame,Dump Box,,Tub cracking,Tub structural failure,2,Physical Impacts,3,Maintenance tasks determined through visual inspection,1,6,Collect failure information and and record replacement intervals.
,,,Tub wearout,Tub structural failure,2,General eear from cyclic loading,3,Maintenance tasks determined through visual inspection,2,12,Collect failure information and and record replacement intervals.
,,Dump Cylinder,Wearing,"Increased component wear at articulated joints, contamination of components exposed to grease",2,General eear from cyclic loading,3,Maintenance tasks determined through visual inspection,2,12,Inspect at 500 hour service. Check torque and mounting pins and bushings.
,,,Excessive clearances,"Increased component wear at articulated joints, contamination of components exposed to grease",2,General eear from cyclic loading,3,Maintenance tasks determined through visual inspection,2,12,Inspect at 500 hour service.
Fire Suppression System,Fire Extinguisher,Cylinder,Wearing,"Loss of system pressure, structural integrity of pressure chamber compromised ",3,"Physical impact, expiration of contents, failure to store cylinder correctly",2,Visual daily inspection. CM when required.,1,6,
,,,Leaking,Loss of system pressure ,3,"damage to release mechanism or fittings, improper construction",2,Visual daily inspection. CM when required.,2,12,
,,,Out of date / no test tag,Potentially non functioning due to packing of retardant,3,maintenance schedule not adheared to or tag has been misplaced,3,Safety and Training to inspect and retag,1,9,
,,Hoses,Wearing,Reduced capacity to use effectively,3,"Physical impact, incorrect storage of extinguisher",2,Visual daily inspection. CM when required.,2,12,
,,Mounting Point,Wearing,Wearing to cylinder/lost,3,Physical damage,2,Visual daily inspection. CM when required.,1,6,
,AFFF,Cylinder,Wearing,"Loss of system pressure, structural integrity of pressure chamber compromised ",4,"Physical impact, expiration of contents, failure to store cylinder correctly",2,Visual daily inspection. CM when required.,1,8,
,,,Leaking,Loss of system pressure,4,"damage to fittings, or incorrect instalation, fittings amy have come loose",3,Visual daily inspection. CM when required.,2,24,
,,,Unintentional discharge,Loss of system pressure,4,Activation due to line failure or other accidental means,3,Investigated upon component failure.,1,12,
,,,Out of date / no test tag,Potentially non functioning,4,maintenance schedule not adheared to or tag has been misplaced,3,Safety and Training to inspect and retag,1,12,
,,Hoses,Wearing,"Reduced capacity to use effectively, may cause unintentional discharge of AFFF system",4,"pinching of lines, failure to replace protective nozzle caps, heat damage to lines causing deterioration",3,Visual daily inspection. CM when required.,2,24,
,,Mounting Point,Wearing,"May cause damage to the cylinder, loss of cylinder, unintentional discharge of AFFF system",4,incorrect installation impacts from falling rocks,2,Visual daily inspection. CM when required.,1,8,
,,Activation System & Gauge,"Wearing, ","May cause unintentional discharge of AFFF system or inability to discharge system, system pressure may not be accurately displayed",4,"damage from impacts, mechanical failure of gauge.",3,Visual daily inspection. CM when required.,2,24,
,,,Out of date / no test tag,Potentially non functioning due to packing of retardant,4,maintenance schedule not adheared to or tag has been misplaced,4,Safety and Training to inspect and retag,2,32,
